File Name,Frame,Timestamp,Focus,Cognitive Demand,Engagement,Memory
Hugo_Sanchez,1,00:00:00.000,83.0,22.6,60.8,34.5
Hugo_Sanchez,2,00:00:00.041,84.3,22.6,60.8,34.5
Hugo_Sanchez,3,00:00:00.083,85.3,22.5,60.7,34.4
Hugo_Sanchez,4,00:00:00.125,86.7,22.5,60.6,34.4
Hugo_Sanchez,5,00:00:00.166,87.9,22.4,60.5,34.3
Hugo_Sanchez,6,00:00:00.208,88.4,22.4,60.5,34.2
Hugo_Sanchez,7,00:00:00.250,88.5,22.3,60.6,34.0
Hugo_Sanchez,8,00:00:00.291,88.3,22.3,60.9,33.8
Hugo_Sanchez,9,00:00:00.333,88.2,22.2,61.2,33.5
Hugo_Sanchez,10,00:00:00.375,87.9,22.2,61.7,33.1
Hugo_Sanchez,11,00:00:00.416,87.5,22.1,62.2,32.8
Hugo_Sanchez,12,00:00:00.458,87.0,21.8,62.8,32.4
Hugo_Sanchez,13,00:00:00.500,86.5,21.8,63.4,32.0
Hugo_Sanchez,14,00:00:00.541,85.9,21.8,63.8,31.7
Hugo_Sanchez,15,00:00:00.583,85.4,21.8,64.2,31.5
Hugo_Sanchez,16,00:00:00.625,85.0,21.8,64.5,31.3
Hugo_Sanchez,17,00:00:00.666,84.8,21.8,64.7,31.1
Hugo_Sanchez,18,00:00:00.708,84.9,21.8,64.9,30.9
Hugo_Sanchez,19,00:00:00.750,85.1,21.8,65.0,30.7
Hugo_Sanchez,20,00:00:00.791,85.4,21.8,65.0,30.4
Hugo_Sanchez,21,00:00:00.833,85.7,21.8,65.1,30.0
Hugo_Sanchez,22,00:00:00.875,85.9,21.8,65.1,29.6
Hugo_Sanchez,23,00:00:00.916,84.3,21.8,65.1,29.1
Hugo_Sanchez,24,00:00:00.958,78.5,21.8,65.0,28.5
Hugo_Sanchez,25,00:00:01.000,71.3,22.0,65.0,28.0
Hugo_Sanchez,26,00:00:01.041,71.7,22.8,65.0,27.5
Hugo_Sanchez,27,00:00:01.083,73.0,23.1,65.1,27.2
Hugo_Sanchez,28,00:00:01.125,74.0,23.7,65.2,27.1
Hugo_Sanchez,29,00:00:01.166,74.4,24.1,65.5,27.2
Hugo_Sanchez,30,00:00:01.208,73.8,24.8,65.8,27.5
Hugo_Sanchez,31,00:00:01.250,72.6,25.8,66.3,27.9
Hugo_Sanchez,32,00:00:01.291,71.6,26.4,66.8,28.3
Hugo_Sanchez,33,00:00:01.333,71.2,26.5,67.2,28.6
Hugo_Sanchez,34,00:00:01.375,70.5,26.5,67.6,28.9
Hugo_Sanchez,35,00:00:01.416,69.3,26.5,67.9,29.0
Hugo_Sanchez,36,00:00:01.458,68.0,26.5,68.1,29.0
Hugo_Sanchez,37,00:00:01.500,67.0,26.5,68.2,28.9
Hugo_Sanchez,38,00:00:01.541,66.4,26.5,68.3,28.7
Hugo_Sanchez,39,00:00:01.583,66.1,26.5,68.3,28.6
Hugo_Sanchez,40,00:00:01.625,66.1,26.5,68.3,28.4
Hugo_Sanchez,41,00:00:01.666,66.2,26.5,68.3,28.3
Hugo_Sanchez,42,00:00:01.708,66.4,26.5,68.3,28.3
Hugo_Sanchez,43,00:00:01.750,66.5,26.5,68.2,28.2
Hugo_Sanchez,44,00:00:01.791,66.5,26.5,68.2,28.2
Hugo_Sanchez,45,00:00:01.833,66.9,26.5,68.2,28.2
Hugo_Sanchez,46,00:00:01.875,67.5,26.5,68.0,28.2
Hugo_Sanchez,47,00:00:01.916,65.7,26.5,67.7,28.2
Hugo_Sanchez,48,00:00:01.958,62.8,26.5,67.0,28.2
Hugo_Sanchez,49,00:00:02.000,62.5,26.5,65.8,28.2
Hugo_Sanchez,50,00:00:02.041,62.7,26.5,63.8,28.3
Hugo_Sanchez,51,00:00:02.083,63.3,26.5,60.8,28.3
Hugo_Sanchez,52,00:00:02.125,64.7,26.5,56.9,28.4
Hugo_Sanchez,53,00:00:02.166,65.9,26.5,51.9,28.5
Hugo_Sanchez,54,00:00:02.208,66.3,26.5,46.4,28.6
Hugo_Sanchez,55,00:00:02.250,66.1,26.5,40.5,28.8
Hugo_Sanchez,56,00:00:02.291,65.1,26.5,34.8,29.0
Hugo_Sanchez,57,00:00:02.333,63.4,64.7,29.8,29.2
Hugo_Sanchez,58,00:00:02.375,61.2,65.8,25.8,29.5
Hugo_Sanchez,59,00:00:02.416,57.5,65.4,23.1,29.8
Hugo_Sanchez,60,00:00:02.458,53.5,65.8,21.6,30.1
Hugo_Sanchez,61,00:00:02.500,50.7,60.5,21.2,30.4
Hugo_Sanchez,62,00:00:02.541,49.8,63.2,21.7,30.8
Hugo_Sanchez,63,00:00:02.583,50.2,63.5,22.7,31.2
Hugo_Sanchez,64,00:00:02.625,51.3,60.8,23.9,31.6
Hugo_Sanchez,65,00:00:02.666,52.9,61.2,25.2,31.9
Hugo_Sanchez,66,00:00:02.708,54.4,63.3,26.2,32.2
Hugo_Sanchez,67,00:00:02.750,55.5,61.4,26.8,32.5
Hugo_Sanchez,68,00:00:02.791,56.6,58.9,27.0,32.8
Hugo_Sanchez,69,00:00:02.833,57.8,60.0,26.8,32.9
Hugo_Sanchez,70,00:00:02.875,59.0,60.3,26.2,32.9
Hugo_Sanchez,71,00:00:02.916,60.1,58.5,25.2,32.8
Hugo_Sanchez,72,00:00:02.958,57.0,56.4,23.9,32.6
Hugo_Sanchez,73,00:00:03.000,49.6,54.8,22.3,32.3
Hugo_Sanchez,74,00:00:03.041,47.8,55.2,20.7,32.0
Hugo_Sanchez,75,00:00:03.083,47.8,57.9,19.1,31.6
Hugo_Sanchez,76,00:00:03.125,49.7,24.9,17.5,31.2
Hugo_Sanchez,77,00:00:03.166,51.4,24.8,16.2,30.8
Hugo_Sanchez,78,00:00:03.208,53.0,25.3,15.2,30.5
Hugo_Sanchez,79,00:00:03.250,55.0,25.3,14.4,30.3
Hugo_Sanchez,80,00:00:03.291,56.1,25.3,13.9,30.1
Hugo_Sanchez,81,00:00:03.333,55.3,25.0,13.6,30.0
Hugo_Sanchez,82,00:00:03.375,52.7,25.1,13.6,29.9
Hugo_Sanchez,83,00:00:03.416,49.1,25.2,13.6,29.7
Hugo_Sanchez,84,00:00:03.458,45.0,25.5,13.7,29.6
Hugo_Sanchez,85,00:00:03.500,41.3,25.8,13.8,29.5
Hugo_Sanchez,86,00:00:03.541,38.6,26.0,14.0,29.5
Hugo_Sanchez,87,00:00:03.583,36.8,26.4,14.3,29.7
Hugo_Sanchez,88,00:00:03.625,35.8,26.4,14.8,30.1
Hugo_Sanchez,89,00:00:03.666,35.9,25.5,15.6,30.9
Hugo_Sanchez,90,00:00:03.708,37.2,25.5,16.9,32.3
Hugo_Sanchez,91,00:00:03.750,38.2,25.9,18.7,34.4
Hugo_Sanchez,92,00:00:03.791,38.6,26.2,21.0,37.3
Hugo_Sanchez,93,00:00:03.833,38.7,26.4,23.9,41.0
Hugo_Sanchez,94,00:00:03.875,39.0,26.8,27.0,45.3
Hugo_Sanchez,95,00:00:03.916,38.3,26.9,30.4,49.9
